Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_11,1,265,8,"F32, F105, F135, F155, F164, F192, F236, F249",0.8559,0.2317,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",1.37,DT,,,,10.0,gini,,,,
dataset_11,2,265,10,"F32, F68, F102, F105, F123, F164, F192, F196, F236, F249",0.8499,0.1851,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",1.7,DT,,,10.0,10.0,entropy,,,,
dataset_11,3,265,8,"F8, F32, F105, F164, F192, F231, F236, F249",0.8475,0.2206,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",1.59,DT,,,,10.0,entropy,,,,
dataset_11,4,265,11,"F32, F68, F92, F105, F111, F155, F164, F178, F192, F236, F249",0.8583,0.221,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",1.77,DT,,,,5.0,gini,,,,
dataset_11,5,265,8,"F32, F105, F126, F156, F164, F192, F236, F249",0.8487,0.1806,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",1.55,DT,,,,10.0,entropy,,,,
dataset_11,6,265,10,"F25, F32, F105, F111, F164, F178, F192, F196, F236, F249",0.8595,0.2318,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",1.61,DT,,,,2.0,gini,,,,
dataset_11,7,265,11,"F32, F68, F102, F105, F123, F164, F178, F192, F196, F236, F249",0.8607,0.21,,,,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",1.72,DT,,,10.0,2.0,gini,,,,
dataset_11,8,265,9,"F32, F92, F102, F105, F164, F192, F196, F236, F249",0.8667,0.2166,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",2.01,DT,,,10.0,5.0,entropy,,,,
dataset_11,9,265,9,"F32, F68, F102, F105, F138, F164, F192, F236, F249",0.8499,0.2004,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",1.58,DT,,,,10.0,entropy,,,,
dataset_11,10,265,9,"F32, F68, F105, F111, F164, F192, F196, F236, F249",0.8415,0.1814,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",1.56,DT,,,10.0,2.0,entropy,,,,
