Dataset,Fold,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds
dataset_8,1,0.976,0.7221,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",8.19
dataset_8,2,0.9718,0.7131,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",4.56
dataset_8,3,0.9844,0.9843,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",10.04
dataset_8,4,0.9812,0.9572,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",6.42
dataset_8,5,0.9812,0.9746,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",7.11
dataset_8,6,0.9812,0.981,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",10.41
dataset_8,7,0.9843,0.9843,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",5.85
dataset_8,8,0.9823,0.9821,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",11.84
dataset_8,9,0.9781,0.9733,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",4.75
dataset_8,10,0.976,0.9753,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",11.6
