Dataset,Fold,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds
dataset_1,1,0.9875,0.9874,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",7.55
dataset_1,2,0.9885,0.7394,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",6.45
dataset_1,3,0.9823,0.7328,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",7.15
dataset_1,4,0.9843,0.9788,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",8.66
dataset_1,5,0.9864,0.9817,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",14.02
dataset_1,6,0.9843,0.9788,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",17.68
dataset_1,7,0.977,0.9625,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",20.96
dataset_1,8,0.976,0.9749,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",22.29
dataset_1,9,0.9718,0.7076,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",27.46
dataset_1,10,0.9739,0.7147,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",31.92
