Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_16,1,0.9628,0.7964,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",4.61
dataset_16,2,0.9832,0.9001,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",3.18
dataset_16,3,0.9628,0.8565,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.04
dataset_16,4,0.964,0.8162,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",4.46
dataset_16,5,0.958,0.825,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.22
dataset_16,6,0.9652,0.8062,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.83
dataset_16,7,0.9532,0.8345,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",3.91
dataset_16,8,0.9568,0.8334,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.08
dataset_16,9,0.9616,0.8241,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",3.82
dataset_16,10,0.97,0.89,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.18
