Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_13,1,0.9484,0.7971,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",8.71
dataset_13,2,0.9508,0.8144,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.77
dataset_13,3,0.9544,0.8145,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.57
dataset_13,4,0.976,0.9254,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",6.93
dataset_13,5,0.9388,0.7583,5,euclidean,"{'metric': 'euclidean', 'n_neighbors': 5}",6.57
dataset_13,6,0.9448,0.8069,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",4.91
dataset_13,7,0.9556,0.841,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.76
dataset_13,8,0.9508,0.8726,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.94
dataset_13,9,0.9508,0.8413,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",7.22
dataset_13,10,0.952,0.8763,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",5.83
