Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_10,1,0.9232,0.4432,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.43
dataset_10,2,0.9208,0.4313,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.51
dataset_10,3,0.934,0.4916,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",4.72
dataset_10,4,0.922,0.4648,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",4.81
dataset_10,5,0.9196,0.4839,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",6.49
dataset_10,6,0.9196,0.4837,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",6.28
dataset_10,7,0.9412,0.4459,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",6.8
dataset_10,8,0.9376,0.4808,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",8.59
dataset_10,9,0.9208,0.437,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",5.7
dataset_10,10,0.9208,0.432,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",5.96
