Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_9,1,0.9664,0.8901,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.72
dataset_9,2,0.9676,0.8226,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.13
dataset_9,3,0.9604,0.8155,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.2
dataset_9,4,0.9508,0.8288,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",4.82
dataset_9,5,0.946,0.7255,5,euclidean,"{'metric': 'euclidean', 'n_neighbors': 5}",3.67
dataset_9,6,0.9448,0.7104,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",4.5
dataset_9,7,0.9676,0.8719,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.9
dataset_9,8,0.9628,0.864,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.68
dataset_9,9,0.9628,0.8103,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.05
dataset_9,10,0.952,0.7812,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",4.71
