Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_6,1,0.9906,0.9748,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.57
dataset_6,2,0.9854,0.9553,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",0.5
dataset_6,3,0.9896,0.9848,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.45
dataset_6,4,0.9854,0.9756,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",0.45
dataset_6,5,0.9833,0.9738,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",0.55
dataset_6,6,0.9781,0.9691,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",0.67
dataset_6,7,0.9896,0.9852,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.7
dataset_6,8,0.9885,0.9726,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.72
dataset_6,9,0.9833,0.9748,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",0.7
dataset_6,10,0.9864,0.9818,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.73
