Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_1,1,0.9937,0.74,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",12.52
dataset_1,2,0.9927,0.7437,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.67
dataset_1,3,0.9885,0.7307,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.49
dataset_1,4,0.9854,0.9756,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.55
dataset_1,5,0.9896,0.9743,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.55
dataset_1,6,0.9937,0.9918,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.58
dataset_1,7,0.9749,0.9493,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",0.72
dataset_1,8,0.9875,0.9835,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.65
dataset_1,9,0.9833,0.7162,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.73
dataset_1,10,0.9885,0.735,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.72
