Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_7,1,0.9875,0.7303,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.44
dataset_7,2,0.9875,0.73,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.45
dataset_7,3,0.9906,0.9826,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.4
dataset_7,4,0.9885,0.9674,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.46
dataset_7,5,0.9843,0.9794,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.45
dataset_7,6,0.9843,0.7308,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.61
dataset_7,7,0.9864,0.7378,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",0.62
dataset_7,8,0.9916,0.7427,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.73
dataset_7,9,0.9854,0.7237,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",1.0
dataset_7,10,0.9875,0.9836,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.71
