Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_14,1,0.9484,0.7971,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",8.35
dataset_14,2,0.9508,0.8144,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",6.0
dataset_14,3,0.9544,0.8145,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",5.8
dataset_14,4,0.976,0.9254,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",6.61
dataset_14,5,0.9388,0.7583,5,euclidean,"{'metric': 'euclidean', 'n_neighbors': 5}",3.21
dataset_14,6,0.9448,0.8069,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",3.97
dataset_14,7,0.9556,0.841,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.99
dataset_14,8,0.9508,0.8726,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",3.21
dataset_14,9,0.9508,0.8413,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",6.48
dataset_14,10,0.952,0.8763,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",4.9
