Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_11,1,0.8571,0.218,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",6.82
dataset_11,2,0.8511,0.195,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",5.08
dataset_11,3,0.8391,0.1621,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",5.1
dataset_11,4,0.8463,0.2017,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",9.91
dataset_11,5,0.8379,0.1731,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",5.23
dataset_11,6,0.8499,0.2156,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",6.62
dataset_11,7,0.8619,0.1999,9,euclidean,"{'metric': 'euclidean', 'n_neighbors': 9}",6.46
dataset_11,8,0.8547,0.1755,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",4.6
dataset_11,9,0.8307,0.1604,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",7.76
dataset_11,10,0.8475,0.1855,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",6.56
