Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_12,1,0.7935,0.0912,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",4.79
dataset_12,2,0.8127,0.1372,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",9.42
dataset_12,3,0.8055,0.0954,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",6.28
dataset_12,4,0.7935,0.0831,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",6.07
dataset_12,5,0.7947,0.1058,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",6.04
dataset_12,6,0.8115,0.1016,11,euclidean,"{'metric': 'euclidean', 'n_neighbors': 11}",4.85
dataset_12,7,0.8151,0.1243,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",8.58
dataset_12,8,0.8127,0.1108,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",6.41
dataset_12,9,0.7983,0.0917,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",5.33
dataset_12,10,0.8067,0.1113,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",5.59
