Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_8,4,19,3,"F1, F2, F13",1.0,1.0,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",8.1,RF,,,10.0,2.0,,100.0,,,
dataset_8,5,19,3,"F1, F2, F5",1.0,1.0,,,,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",7.83,RF,,,5.0,2.0,,100.0,,,
dataset_8,6,19,3,"F1, F5, F13",1.0,1.0,,,,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",7.96,RF,,,5.0,2.0,,100.0,,,
dataset_8,7,19,3,"F1, F5, F13",1.0,1.0,,,,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",8.17,RF,,,5.0,2.0,,100.0,,,
dataset_8,8,19,3,"F1, F2, F13",1.0,1.0,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",7.99,RF,,,10.0,2.0,,100.0,,,
dataset_8,9,19,4,"F1, F2, F5, F13",1.0,1.0,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",8.48,RF,,,10.0,2.0,,100.0,,,
dataset_8,10,19,4,"F1, F2, F5, F13",1.0,1.0,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",8.31,RF,,,10.0,2.0,,100.0,,,
dataset_8,1,19,3,"F1, F2, F13",0.9969,0.7431,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",27.67,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_8,2,19,2,"F1, F2",0.999,0.7451,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",20.94,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_8,3,19,4,"F1, F2, F5, F13",0.9937,0.7401,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",28.38,MLP,,,,,,,"(64, 64)",0.001,0.0001
dataset_8,4,19,3,"F1, F2, F13",0.9948,0.9933,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",25.76,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_8,5,19,3,"F1, F2, F5",0.9969,0.996,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",23.56,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_8,6,19,3,"F1, F5, F13",0.999,0.7449,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",21.96,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_8,7,19,3,"F1, F5, F13",0.9958,0.7419,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",24.1,MLP,,,,,,,"(128,)",0.001,0.0001
dataset_8,8,19,3,"F1, F2, F13",0.9896,0.7357,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",23.97,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_8,9,19,4,"F1, F2, F5, F13",0.977,0.7204,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",25.4,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_8,10,19,4,"F1, F2, F5, F13",0.9958,0.7378,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",27.89,MLP,,,,,,,"(64, 64)",0.01,0.0001
