Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_10,1,265,13,"F32, F51, F59, F68, F92, F105, F108, F164, F192, F226, F227, F236, F249",0.5534,0.0727,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",4.95,SVM,,,,,,,,,
dataset_10,2,265,12,"F32, F51, F59, F79, F92, F105, F108, F164, F192, F226, F236, F249",0.7575,0.0935,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.46,SVM,,,,,,,,,
dataset_10,3,265,14,"F15, F17, F32, F51, F92, F105, F108, F164, F185, F192, F226, F227, F236, F249",0.7599,0.1546,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",5.06,SVM,,,,,,,,,
dataset_10,4,265,17,"F15, F17, F21, F32, F59, F68, F92, F105, F108, F134, F164, F192, F226, F231, F236, F249, F252",0.7563,0.1578,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.69,SVM,,,,,,,,,
dataset_10,5,265,12,"F32, F51, F92, F105, F108, F164, F178, F192, F226, F231, F236, F249",0.7599,0.1073,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",4.41,SVM,,,,,,,,,
dataset_10,6,265,13,"F32, F43, F51, F79, F92, F105, F108, F164, F192, F226, F236, F249, F250",0.4718,0.0733,linear,10.0,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",5.25,SVM,,,,,,,,,
dataset_10,7,265,16,"F17, F32, F51, F59, F68, F92, F105, F108, F164, F167, F192, F226, F227, F236, F249, F250",0.7515,0.1131,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",5.04,SVM,,,,,,,,,
dataset_10,8,265,17,"F21, F32, F51, F68, F92, F105, F108, F164, F167, F185, F192, F196, F226, F230, F236, F249, F255",0.7395,0.122,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.67,SVM,,,,,,,,,
dataset_10,9,265,12,"F4, F15, F32, F51, F92, F105, F164, F185, F192, F226, F236, F249",0.7827,0.1062,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",5.09,SVM,,,,,,,,,
dataset_10,10,265,11,"F21, F32, F51, F92, F105, F108, F164, F192, F226, F236, F249",0.8007,0.122,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.35,SVM,,,,,,,,,
dataset_10,1,265,13,"F32, F51, F59, F68, F92, F105, F108, F164, F192, F226, F227, F236, F249",0.934,0.4369,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",47.96,KNN,3.0,manhattan,,,,,,,
dataset_10,2,265,12,"F32, F51, F59, F79, F92, F105, F108, F164, F192, F226, F236, F249",0.9196,0.4163,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.48,KNN,3.0,manhattan,,,,,,,
dataset_10,3,265,14,"F15, F17, F32, F51, F92, F105, F108, F164, F185, F192, F226, F227, F236, F249",0.9184,0.4039,,,,"{'metric': 'euclidean', 'n_neighbors': 7}",16.13,KNN,7.0,euclidean,,,,,,,
dataset_10,4,265,17,"F15, F17, F21, F32, F59, F68, F92, F105, F108, F134, F164, F192, F226, F231, F236, F249, F252",0.9172,0.4019,,,,"{'metric': 'euclidean', 'n_neighbors': 5}",25.14,KNN,5.0,euclidean,,,,,,,
dataset_10,5,265,12,"F32, F51, F92, F105, F108, F164, F178, F192, F226, F231, F236, F249",0.9232,0.4683,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.75,KNN,3.0,manhattan,,,,,,,
dataset_10,6,265,13,"F32, F43, F51, F79, F92, F105, F108, F164, F192, F226, F236, F249, F250",0.928,0.4411,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",16.42,KNN,3.0,euclidean,,,,,,,
dataset_10,7,265,16,"F17, F32, F51, F59, F68, F92, F105, F108, F164, F167, F192, F226, F227, F236, F249, F250",0.9352,0.3957,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",16.56,KNN,3.0,manhattan,,,,,,,
dataset_10,8,265,17,"F21, F32, F51, F68, F92, F105, F108, F164, F167, F185, F192, F196, F226, F230, F236, F249, F255",0.9232,0.3956,,,,"{'metric': 'manhattan', 'n_neighbors': 5}",16.86,KNN,5.0,manhattan,,,,,,,
dataset_10,9,265,12,"F4, F15, F32, F51, F92, F105, F164, F185, F192, F226, F236, F249",0.9136,0.3744,,,,"{'metric': 'manhattan', 'n_neighbors': 5}",15.96,KNN,5.0,manhattan,,,,,,,
dataset_10,10,265,11,"F21, F32, F51, F92, F105, F108, F164, F192, F226, F236, F249",0.9292,0.4244,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",16.0,KNN,3.0,manhattan,,,,,,,
dataset_10,1,265,13,"F32, F51, F59, F68, F92, F105, F108, F164, F192, F226, F227, F236, F249",0.946,0.522,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",2.32,DT,,,,2.0,gini,,,,
dataset_10,2,265,12,"F32, F51, F59, F79, F92, F105, F108, F164, F192, F226, F236, F249",0.9268,0.3606,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",1.62,DT,,,,2.0,entropy,,,,
dataset_10,3,265,14,"F15, F17, F32, F51, F92, F105, F108, F164, F185, F192, F226, F227, F236, F249",0.9316,0.4882,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",1.57,DT,,,,2.0,gini,,,,
dataset_10,4,265,17,"F15, F17, F21, F32, F59, F68, F92, F105, F108, F134, F164, F192, F226, F231, F236, F249, F252",0.94,0.4387,,,,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",1.98,DT,,,10.0,2.0,gini,,,,
dataset_10,5,265,12,"F32, F51, F92, F105, F108, F164, F178, F192, F226, F231, F236, F249",0.9268,0.4303,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",1.7,DT,,,,10.0,gini,,,,
dataset_10,6,265,13,"F32, F43, F51, F79, F92, F105, F108, F164, F192, F226, F236, F249, F250",0.9304,0.4445,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",1.63,DT,,,,2.0,gini,,,,
dataset_10,7,265,16,"F17, F32, F51, F59, F68, F92, F105, F108, F164, F167, F192, F226, F227, F236, F249, F250",0.9388,0.4218,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",1.95,DT,,,,2.0,gini,,,,
dataset_10,8,265,17,"F21, F32, F51, F68, F92, F105, F108, F164, F167, F185, F192, F196, F226, F230, F236, F249, F255",0.9352,0.4714,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",2.15,DT,,,,2.0,entropy,,,,
dataset_10,9,265,12,"F4, F15, F32, F51, F92, F105, F164, F185, F192, F226, F236, F249",0.9244,0.3952,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",1.64,DT,,,,2.0,entropy,,,,
dataset_10,10,265,11,"F21, F32, F51, F92, F105, F108, F164, F192, F226, F236, F249",0.9352,0.4552,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",1.79,DT,,,,2.0,entropy,,,,
dataset_10,1,265,13,"F32, F51, F59, F68, F92, F105, F108, F164, F192, F226, F227, F236, F249",0.9484,0.515,,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",15.43,RF,,,,5.0,,200.0,,,
dataset_10,2,265,12,"F32, F51, F59, F79, F92, F105, F108, F164, F192, F226, F236, F249",0.9424,0.4448,,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",13.98,RF,,,,5.0,,200.0,,,
dataset_10,3,265,14,"F15, F17, F32, F51, F92, F105, F108, F164, F185, F192, F226, F227, F236, F249",0.9484,0.5262,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",13.05,RF,,,10.0,2.0,,100.0,,,
dataset_10,4,265,17,"F15, F17, F21, F32, F59, F68, F92, F105, F108, F134, F164, F192, F226, F231, F236, F249, F252",0.946,0.5084,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",15.95,RF,,,10.0,2.0,,100.0,,,
dataset_10,5,265,12,"F32, F51, F92, F105, F108, F164, F178, F192, F226, F231, F236, F249",0.9412,0.543,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",13.92,RF,,,,2.0,,100.0,,,
dataset_10,6,265,13,"F32, F43, F51, F79, F92, F105, F108, F164, F192, F226, F236, F249, F250",0.9412,0.4836,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",13.96,RF,,,10.0,2.0,,100.0,,,
