Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_6,1,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.4
dataset_6,2,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.39
dataset_6,3,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.47
dataset_6,4,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.37
dataset_6,5,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.4
dataset_6,6,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.41
dataset_6,7,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.38
dataset_6,8,0.999,0.9824,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.44
dataset_6,9,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.4
dataset_6,10,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.39
