Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_4,1,0.877,0.5683,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",0.62
dataset_4,2,0.879,0.5553,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.51
dataset_4,3,0.8707,0.5381,10.0,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.51
dataset_4,4,0.8497,0.4757,10.0,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.55
dataset_4,5,0.8528,0.469,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",0.54
dataset_4,6,0.8539,0.47,10.0,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.56
dataset_4,7,0.8497,0.4481,,10,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",0.54
dataset_4,8,0.8497,0.4163,3.0,2,gini,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}",0.69
dataset_4,9,0.8664,0.5101,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.54
dataset_4,10,0.8518,0.4914,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.51
