Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_2,1,0.9625,0.6192,10.0,5,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.29
dataset_2,2,0.952,0.5795,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",0.27
dataset_2,3,0.9635,0.5643,10.0,5,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.31
dataset_2,4,0.9582,0.6185,10.0,2,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.28
dataset_2,5,0.9468,0.546,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",0.28
dataset_2,6,0.9676,0.6364,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",0.3
dataset_2,7,0.9593,0.58,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",0.3
dataset_2,8,0.9614,0.5539,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.29
dataset_2,9,0.9645,0.6071,10.0,5,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.27
dataset_2,10,0.9635,0.637,10.0,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.3
