Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_11,1,0.8595,0.2428,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",3.97
dataset_11,2,0.8499,0.1732,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",5.82
dataset_11,3,0.8499,0.2349,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",6.66
dataset_11,4,0.8619,0.2595,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",5.95
dataset_11,5,0.8559,0.2115,,10,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",6.62
dataset_11,6,0.8643,0.2402,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",5.79
dataset_11,7,0.8631,0.2086,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",6.08
dataset_11,8,0.8643,0.2136,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",5.75
dataset_11,9,0.8523,0.1963,,10,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",6.28
dataset_11,10,0.8391,0.1537,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",5.74
