Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_9,1,0.9856,0.9232,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",4.02
dataset_9,2,0.9808,0.8408,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",3.45
dataset_9,3,0.9832,0.8672,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",3.46
dataset_9,4,0.988,0.907,10.0,2,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",3.45
dataset_9,5,0.9772,0.8345,10.0,2,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",3.29
dataset_9,6,0.9772,0.7853,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",3.23
dataset_9,7,0.988,0.8866,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",3.37
dataset_9,8,0.9868,0.9041,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",3.44
dataset_9,9,0.9784,0.833,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",3.44
dataset_9,10,0.988,0.9161,10.0,2,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",3.33
