Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_14,1,0.976,0.8407,10.0,2,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",2.94
dataset_14,2,0.982,0.8611,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",2.7
dataset_14,3,0.982,0.8922,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",2.66
dataset_14,4,0.9808,0.8747,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",2.84
dataset_14,5,0.9772,0.7891,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",2.58
dataset_14,6,0.9808,0.8719,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",2.75
dataset_14,7,0.9772,0.8024,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",2.41
dataset_14,8,0.9832,0.9029,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",2.46
dataset_14,9,0.9868,0.896,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",2.56
dataset_14,10,0.976,0.8817,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",2.55
