Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_12,1,0.8043,0.1201,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",6.47
dataset_12,2,0.8043,0.1211,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",5.79
dataset_12,3,0.8091,0.1027,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",6.84
dataset_12,4,0.8031,0.1125,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",6.65
dataset_12,5,0.8127,0.1328,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",6.64
dataset_12,6,0.8151,0.1233,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",6.0
dataset_12,7,0.8091,0.1186,,2,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",5.75
dataset_12,8,0.8079,0.1081,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",6.15
dataset_12,9,0.8115,0.1466,,10,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",5.72
dataset_12,10,0.8103,0.0945,10.0,10,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",5.35
