Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_1,1,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",17.1
dataset_1,2,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.48
dataset_1,3,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.68
dataset_1,4,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.52
dataset_1,5,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.5
dataset_1,6,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.48
dataset_1,7,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.49
dataset_1,8,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.5
dataset_1,9,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.57
dataset_1,10,1.0,1.0,10,2,gini,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.56
