Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_6,1,19,4,"F1, F2, F5, F13",0.9948,0.9184,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.43,KNN,3.0,euclidean,,,,,,,
dataset_6,2,19,3,"F1, F2, F5",0.999,0.9825,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.42,KNN,3.0,euclidean,,,,,,,
dataset_6,3,19,3,"F1, F2, F5",1.0,1.0,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.42,KNN,3.0,euclidean,,,,,,,
dataset_6,4,19,3,"F1, F2, F5",1.0,1.0,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.42,KNN,3.0,euclidean,,,,,,,
dataset_6,5,19,2,"F1, F2",1.0,1.0,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.39,KNN,3.0,euclidean,,,,,,,
dataset_6,6,19,2,"F1, F2",1.0,1.0,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.37,KNN,3.0,euclidean,,,,,,,
dataset_6,7,19,2,"F1, F2",1.0,1.0,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.38,KNN,3.0,euclidean,,,,,,,
dataset_6,8,19,3,"F1, F2, F5",0.999,0.9824,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.42,KNN,3.0,euclidean,,,,,,,
dataset_6,9,19,4,"F1, F2, F5, F13",0.999,0.9947,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.43,KNN,3.0,euclidean,,,,,,,
dataset_6,10,19,2,"F1, F2",0.999,0.9824,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.39,KNN,3.0,euclidean,,,,,,,
