Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_11,1,265,8,"F32, F105, F135, F155, F164, F192, F236, F249",0.8547,0.2002,,,,"{'metric': 'euclidean', 'n_neighbors': 7}",15.66,KNN,7.0,euclidean,,,,,,,
dataset_11,2,265,10,"F32, F68, F102, F105, F123, F164, F192, F196, F236, F249",0.8523,0.2016,,,,"{'metric': 'manhattan', 'n_neighbors': 5}",15.5,KNN,5.0,manhattan,,,,,,,
dataset_11,3,265,8,"F8, F32, F105, F164, F192, F231, F236, F249",0.8331,0.1809,,,,"{'metric': 'manhattan', 'n_neighbors': 7}",15.35,KNN,7.0,manhattan,,,,,,,
dataset_11,4,265,11,"F32, F68, F92, F105, F111, F155, F164, F178, F192, F236, F249",0.8475,0.1652,,,,"{'metric': 'manhattan', 'n_neighbors': 7}",15.61,KNN,7.0,manhattan,,,,,,,
dataset_11,5,265,8,"F32, F105, F126, F156, F164, F192, F236, F249",0.8487,0.1809,,,,"{'metric': 'euclidean', 'n_neighbors': 5}",15.71,KNN,5.0,euclidean,,,,,,,
dataset_11,6,265,10,"F25, F32, F105, F111, F164, F178, F192, F196, F236, F249",0.8595,0.2341,,,,"{'metric': 'manhattan', 'n_neighbors': 7}",15.81,KNN,7.0,manhattan,,,,,,,
dataset_11,7,265,11,"F32, F68, F102, F105, F123, F164, F178, F192, F196, F236, F249",0.8571,0.2192,,,,"{'metric': 'manhattan', 'n_neighbors': 7}",15.8,KNN,7.0,manhattan,,,,,,,
dataset_11,8,265,9,"F32, F92, F102, F105, F164, F192, F196, F236, F249",0.8571,0.1796,,,,"{'metric': 'manhattan', 'n_neighbors': 7}",47.69,KNN,7.0,manhattan,,,,,,,
dataset_11,9,265,9,"F32, F68, F102, F105, F138, F164, F192, F236, F249",0.8307,0.1533,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.2,KNN,3.0,manhattan,,,,,,,
dataset_11,10,265,9,"F32, F68, F105, F111, F164, F192, F196, F236, F249",0.8355,0.1495,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.44,KNN,3.0,manhattan,,,,,,,
