Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_13,1,265,17,"F8, F32, F59, F63, F68, F79, F93, F103, F105, F121, F164, F192, F193, F212, F216, F236, F249",0.9256,0.748,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",16.63,KNN,3.0,manhattan,,,,,,,
dataset_13,2,265,6,"F56, F105, F164, F192, F236, F249",0.8956,0.6608,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.31,KNN,3.0,manhattan,,,,,,,
dataset_13,3,265,9,"F21, F63, F105, F134, F164, F192, F236, F249, F252",0.928,0.7857,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.53,KNN,3.0,manhattan,,,,,,,
dataset_13,4,265,6,"F63, F105, F164, F192, F236, F249",0.9304,0.7514,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",25.02,KNN,3.0,manhattan,,,,,,,
dataset_13,5,265,6,"F59, F105, F164, F192, F236, F249",0.9172,0.6237,,,,"{'metric': 'manhattan', 'n_neighbors': 5}",80.83,KNN,5.0,manhattan,,,,,,,
dataset_13,6,265,13,"F8, F32, F59, F63, F68, F102, F103, F105, F164, F192, F213, F236, F249",0.946,0.7739,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",16.6,KNN,3.0,manhattan,,,,,,,
dataset_13,7,265,6,"F32, F56, F105, F120, F164, F192",0.8896,0.6586,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",32.75,KNN,3.0,manhattan,,,,,,,
dataset_13,8,265,9,"F24, F25, F59, F105, F114, F164, F192, F236, F249",0.9412,0.8058,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",40.8,KNN,3.0,manhattan,,,,,,,
dataset_13,9,265,12,"F8, F32, F59, F63, F79, F102, F105, F164, F192, F218, F236, F249",0.9304,0.7886,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",23.6,KNN,3.0,manhattan,,,,,,,
dataset_13,10,265,6,"F59, F105, F164, F192, F236, F249",0.9016,0.6411,,,,"{'metric': 'manhattan', 'n_neighbors': 9}",37.48,KNN,9.0,manhattan,,,,,,,
