Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_8,1,0.9979,0.998,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",3.32
dataset_8,2,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",2.71
dataset_8,3,1.0,1.0,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",3.6
dataset_8,4,1.0,1.0,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",3.55
dataset_8,5,1.0,1.0,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",3.45
dataset_8,6,0.9969,0.997,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",5.5
dataset_8,7,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",5.1
dataset_8,8,1.0,1.0,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",3.73
dataset_8,9,0.9948,0.9949,100,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",3.39
dataset_8,10,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",3.28
