Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_3,1,0.879,0.5459,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",5.6
dataset_3,2,0.8978,0.5738,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",4.55
dataset_3,3,0.8916,0.583,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",4.01
dataset_3,4,0.8977,0.5964,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",4.13
dataset_3,5,0.8977,0.6083,200,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",4.67
dataset_3,6,0.9029,0.5971,100,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",7.1
dataset_3,7,0.8998,0.6115,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",5.21
dataset_3,8,0.9071,0.6377,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",4.03
dataset_3,9,0.8935,0.5838,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",4.17
dataset_3,10,0.8956,0.5916,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",4.74
