Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_2,1,0.9708,0.6532,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",4.9
dataset_2,2,0.9541,0.5878,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",4.38
dataset_2,3,0.9604,0.5174,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",3.69
dataset_2,4,0.9551,0.5501,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",5.03
dataset_2,5,0.9509,0.583,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",5.97
dataset_2,6,0.9708,0.5825,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",4.59
dataset_2,7,0.9593,0.5197,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",3.59
dataset_2,8,0.9624,0.5689,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",5.75
dataset_2,9,0.9697,0.6921,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",5.25
dataset_2,10,0.9603,0.5963,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",6.91
