Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_11,1,0.8691,0.2428,100,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",29.53
dataset_11,2,0.8535,0.2133,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",34.99
dataset_11,3,0.8523,0.1867,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",32.78
dataset_11,4,0.8643,0.2367,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",32.26
dataset_11,5,0.8559,0.1953,200,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",38.43
dataset_11,6,0.8655,0.225,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",33.25
dataset_11,7,0.8667,0.2326,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",36.46
dataset_11,8,0.8619,0.1756,200,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",37.6
dataset_11,9,0.8679,0.2304,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",32.7
dataset_11,10,0.8427,0.1487,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",30.62
