Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_12,1,265,34,"F6, F8, F32, F39, F58, F73, F74, F90, F93, F100, F105, F108, F115, F118, F121, F125, F129, F135, F146, F154, F164, F167, F171, F178, F191, F192, F210, F216, F218, F230, F231, F236, F245, F249",0.8091,0.0764,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",20.52,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_12,2,265,27,"F3, F21, F32, F39, F45, F50, F56, F89, F93, F105, F108, F120, F144, F156, F164, F178, F179, F188, F192, F193, F210, F211, F231, F236, F249, F250, F263",0.8139,0.0627,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",15.72,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_12,3,265,52,"F5, F6, F8, F17, F20, F24, F32, F34, F45, F49, F50, F58, F69, F72, F74, F77, F89, F90, F100, F105, F108, F111, F118, F120, F121, F125, F135, F136, F145, F146, F147, F153, F154, F156, F164, F171, F178, F186, F191, F192, F195, F210, F211, F212, F218, F231, F236, F245, F249, F250, F252, F263",0.8103,0.0604,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",13.08,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_12,4,265,48,"F3, F4, F5, F8, F14, F21, F24, F32, F34, F44, F49, F50, F58, F73, F74, F90, F105, F108, F109, F121, F125, F126, F129, F134, F135, F145, F146, F153, F154, F164, F166, F167, F171, F178, F179, F185, F186, F192, F195, F210, F218, F230, F231, F236, F244, F249, F250, F255",0.8091,0.0632,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",11.37,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_12,5,265,28,"F4, F5, F6, F8, F21, F32, F54, F93, F105, F108, F115, F118, F121, F125, F153, F164, F178, F191, F192, F195, F209, F210, F218, F219, F230, F236, F249, F250",0.8091,0.0559,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",11.55,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_12,6,265,56,"F4, F6, F8, F14, F17, F20, F21, F24, F32, F34, F39, F41, F44, F49, F50, F58, F72, F79, F89, F90, F105, F108, F120, F121, F125, F126, F134, F145, F148, F154, F156, F157, F161, F164, F171, F178, F179, F191, F192, F193, F195, F197, F209, F210, F211, F212, F216, F219, F225, F230, F231, F236, F244, F245, F249, F250",0.8139,0.0675,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",16.4,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_12,7,265,46,"F6, F8, F21, F32, F39, F45, F49, F50, F58, F65, F69, F73, F77, F90, F93, F105, F111, F115, F120, F121, F125, F126, F135, F143, F145, F148, F153, F154, F155, F164, F167, F171, F178, F191, F192, F195, F209, F210, F218, F230, F231, F236, F244, F249, F250, F255",0.8151,0.1121,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",19.34,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_12,8,265,62,"F4, F6, F8, F14, F20, F21, F25, F32, F39, F44, F45, F50, F69, F72, F73, F74, F77, F79, F89, F100, F103, F105, F108, F109, F111, F115, F118, F121, F125, F126, F129, F134, F136, F145, F148, F153, F156, F164, F167, F171, F178, F191, F192, F193, F195, F197, F209, F210, F211, F212, F216, F218, F219, F225, F230, F231, F236, F244, F245, F249, F250, F255",0.8127,0.0766,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",14.34,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_12,9,265,43,"F5, F6, F8, F14, F32, F34, F45, F54, F58, F71, F74, F79, F89, F90, F100, F103, F105, F109, F118, F120, F121, F126, F144, F145, F148, F154, F157, F164, F171, F178, F179, F185, F191, F192, F193, F209, F210, F218, F231, F236, F245, F249, F255",0.8115,0.0631,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",14.26,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_12,10,265,70,"F3, F4, F5, F6, F8, F14, F20, F21, F24, F32, F33, F34, F39, F45, F50, F54, F58, F72, F73, F74, F77, F89, F90, F100, F105, F108, F109, F115, F118, F120, F121, F125, F126, F129, F134, F135, F136, F145, F146, F147, F153, F154, F156, F160, F164, F167, F171, F178, F179, F186, F191, F192, F193, F195, F197, F209, F210, F211, F216, F218, F219, F230, F231, F236, F244, F245, F249, F250, F252, F255",0.8091,0.0613,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",13.39,MLP,,,,,,,"(64,)",0.01,0.001
