Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_3,1,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8644,0.4695,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",45.8,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_3,2,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8822,0.5211,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",46.42,MLP,,,,,,,"(128,)",0.01,0.0001
dataset_3,3,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8853,0.5298,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",60.55,MLP,,,,,,,"(64, 64)",0.001,0.001
dataset_3,4,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8727,0.4693,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",1130.52,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_3,5,19,6,"F1, F10, F11, F12, F13, F15",0.8841,0.5611,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",24.28,MLP,,,,,,,"(128,)",0.01,0.001
dataset_3,6,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8925,0.5383,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",30.09,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_3,7,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8894,0.5895,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",26.7,MLP,,,,,,,"(128,)",0.01,0.0001
dataset_3,8,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8894,0.552,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",27.94,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_3,9,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8862,0.5761,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",50.98,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_3,10,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8831,0.5407,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",60.39,MLP,,,,,,,"(64, 64)",0.001,0.0001
