Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_11,1,265,8,"F32, F105, F135, F155, F164, F192, F236, F249",0.8487,0.1434,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",18.35,MLP,,,,,,,"(64,)",0.01,0.001
dataset_11,2,265,10,"F32, F68, F102, F105, F123, F164, F192, F196, F236, F249",0.8547,0.1552,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",32.79,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_11,3,265,8,"F8, F32, F105, F164, F192, F231, F236, F249",0.8391,0.1174,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",17.84,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_11,4,265,11,"F32, F68, F92, F105, F111, F155, F164, F178, F192, F236, F249",0.8535,0.1373,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",15.74,MLP,,,,,,,"(128,)",0.01,0.001
dataset_11,5,265,8,"F32, F105, F126, F156, F164, F192, F236, F249",0.8427,0.1221,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",15.86,MLP,,,,,,,"(128,)",0.01,0.001
dataset_11,6,265,10,"F25, F32, F105, F111, F164, F178, F192, F196, F236, F249",0.8559,0.1411,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",20.08,MLP,,,,,,,"(128,)",0.01,0.0001
dataset_11,7,265,11,"F32, F68, F102, F105, F123, F164, F178, F192, F196, F236, F249",0.8547,0.144,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",18.16,MLP,,,,,,,"(64,)",0.01,0.001
dataset_11,8,265,9,"F32, F92, F102, F105, F164, F192, F196, F236, F249",0.8511,0.1185,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",19.4,MLP,,,,,,,"(128,)",0.01,0.001
dataset_11,9,265,9,"F32, F68, F102, F105, F138, F164, F192, F236, F249",0.8523,0.1504,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",23.68,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_11,10,265,9,"F32, F68, F105, F111, F164, F192, F196, F236, F249",0.8475,0.1005,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",16.84,MLP,,,,,,,"(64, 64)",0.01,0.0001
